# dex,pokemon,pokeapi name,complexity,realism,artificiality,fantasy,humanoid,cuteness,coolness,beauty,popularity,rating count
55,Golduck,golduck,2.0000,2.8364,1.6364,3.0545,3.2545,2.0909,3.4000,2.6000,3.2909,55
56,Mankey,mankey,1.7818,2.7636,1.5636,2.2182,2.9636,2.5091,3.2727,2.2182,3.2545,55
57,Primeape,primeape,2.1273,2.1455,1.9091,2.6000,3.5818,1.9273,3.5273,1.9818,3.2909,55
58,Hisuian Growlithe,growlithe-hisui,2.3333,2.4259,1.6852,2.9074,1.1667,4.4074,3.5370,3.4815,3.8519,54
58,standard Growlithe,growlithe,2.3818,3.1455,1.3091,2.2909,1.1091,4.4364,4.0000,3.7455,4.2364,55
59,Hisuian Arcanine,arcanine-hisui,3.9455,3.0727,2.0545,3.9455,1.1455,3.2545,4.5091,3.6909,4.2545,55
59,standard Arcanine,arcanine,3.1273,3.7455,1.2909,2.8545,1.1091,3.8182,4.4364,4.0182,4.2909,55
60,Poliwag,poliwag,1.6000,2.2000,1.3091,2.1273,1.4000,4.2545,2.6000,3.2909,3.7091,55
61,Poliwhirl,poliwhirl,1.6481,1.4444,1.7037,2.9074,3.3704,3.8333,2.9444,3.0370,3.6852,54
62,Poliwrath,poliwrath,1.6545,1.4909,1.6727,3.1091,3.8182,2.0545,3.4000,2.4909,3.3818,55
63,Abra,abra,2.6481,2.4074,2.1481,3.7037,3.6296,4.0185,3.3148,3.0741,3.9074,54
64,Kadabra,kadabra,3.5273,2.6000,2.4364,4.3636,4.0182,1.8909,3.9455,2.8000,3.7455,55
65,Mega Alakazam,alakazam-mega,3.8519,2.1852,2.6852,4.5741,4.5926,1.7593,3.8333,2.5926,3.5926,54
65,standard Alakazam,alakazam,3.4182,2.7636,2.3091,4.4000,4.3273,1.7091,4.1818,2.7091,4.1273,55
66,Machop,machop,1.9273,2.6727,1.6909,2.8545,4.6727,2.8909,3.1091,2.4727,3.1273,55
67,Machoke,machoke,2.8909,3.6182,2.0364,2.8909,4.8364,1.6000,3.1455,2.1273,2.7455,55
68,Gigantamax Machamp,machamp-gmax,3.6667,2.6296,2.2778,3.8148,4.7593,1.3519,3.7963,2.1481,3.0185,54
68,standard Machamp,machamp,3.1636,2.7091,1.8000,3.5273,4.7455,1.7636,4.2545,2.3455,3.8182,55
69,Bellsprout,bellsprout,1.3455,1.6000,1.3636,2.7818,2.4182,3.5091,2.3455,2.5091,3.5091,55
70,Weepinbell,weepinbell,1.6364,1.5091,1.6000,2.8727,1.4000,1.9636,2.0909,1.7636,2.6364,55
71,Victreebel,victreebel,2.5636,2.4182,1.2545,3.0182,1.2545,1.9636,3.3091,1.9818,3.7273,55
72,Tentacool,tentacool,2.1818,2.6727,1.5455,2.3091,1.2000,2.0727,3.0727,2.0545,3.0727,55
73,Tentacruel,tentacruel,3.4364,3.0545,1.5273,3.1455,1.1636,1.4000,4.0000,2.2909,3.7455,55
74,Alolan Geodude,geodude-alola,2.0727,1.8727,3.7091,3.4727,2.6182,2.1091,2.7818,2.0909,2.8182,55
74,standard Geodude,geodude,1.6111,2.1667,3.3148,3.4074,2.7407,2.0556,3.1852,2.2037,3.1481,54
75,Alolan Graveler,graveler-alola,3.3636,2.1273,3.6364,3.6000,2.6182,1.5636,2.9636,1.8364,2.8545,55
75,standard Graveler,graveler,2.5455,2.5455,3.4000,3.4909,2.6727,1.6000,3.0364,1.9091,3.1455,55
76,Alolan Golem,golem-alola,3.5273,2.1636,3.6909,3.8727,2.8545,1.3636,3.2000,1.6727,2.9273,55
76,standard Golem,golem,2.5273,2.4545,2.7091,3.3273,2.1818,1.6000,3.6182,2.2000,3.4182,55
77,Galarian Ponyta,ponyta-galar,2.2727,1.7636,1.6182,4.2364,1.1455,4.6727,3.2182,4.5636,4.0364,55
77,standard Ponyta,ponyta,1.8909,3.4182,1.5091,3.4000,1.1455,4.0364,3.7818,4.1636,3.8182,55
78,Galarian Rapidash,rapidash-galar,3.2037,2.5370,1.7037,4.4074,1.2593,3.3889,3.4259,4.1296,3.5000,54
78,standard Rapidash,rapidash,2.4364,3.5818,1.6000,4.0364,1.1818,3.0182,4.0545,4.0182,3.7273,55
79,Galarian Slowpoke,slowpoke-galar,1.6364,1.7455,1.3818,2.6364,1.1273,3.8364,2.6000,2.6727,3.6182,55
79,standard Slowpoke,slowpoke,1.6000,1.7455,1.4182,2.4727,1.2727,3.9273,2.7455,2.7273,4.0364,55
80,Galarian Slowbro,slowbro-galar,2.8545,1.9636,2.0727,3.6727,2.8364,3.1455,3.2727,2.4727,3.7455,55
80,Mega Slowbro,slowbro-mega,2.7818,1.3636,2.1273,4.0000,1.9818,3.1818,2.6000,2.6909,3.4182,55
80,standard Slowbro,slowbro,2.5273,1.9636,1.6909,3.2364,2.2000,3.5091,2.9636,2.6000,3.8545,55
81,Magnemite,magnemite,1.6909,2.1455,4.8727,3.5273,1.1455,3.2909,3.2364,2.8364,3.7818,55
82,Magneton,magneton,2.6111,2.2963,4.8519,3.7222,1.1852,2.6481,3.3519,2.7778,3.6111,54
83,Galarian Farfetch’d,farfetchd-galar,2.2037,2.6111,1.4444,2.4444,1.9815,2.4815,3.9074,3.0741,3.7593,54
83,standard Farfetch’d,farfetchd,1.7273,2.8182,1.3091,1.7636,1.6909,3.2000,2.9091,2.8364,3.4545,55
84,Doduo,doduo,1.5636,2.9818,1.4727,2.6000,1.2364,3.5273,2.7091,3.0000,3.4909,55
85,Dodrio,dodrio,2.5370,2.9630,1.4630,3.2407,1.3333,2.0370,3.3333,2.3333,3.3889,54
86,Seel,seel,1.3273,2.7818,1.2727,1.5455,1.2000,3.9091,2.2545,2.9455,3.2727,55
87,Dewgong,dewgong,1.3273,3.1636,1.2545,1.5636,1.0909,4.0545,2.6909,3.8545,3.1636,55
88,Alolan Grimer,grimer-alola,1.5636,1.2909,4.2909,4.1455,2.0000,2.6909,2.5636,1.7273,3.3091,55
88,standard Grimer,grimer,1.3818,1.4727,4.0182,3.7273,1.5091,2.6909,2.2182,1.6727,3.0909,55
89,Alolan Muk,muk-alola,2.8727,1.7455,4.3455,4.0909,1.3636,1.5091,3.5455,1.9636,3.6364,55
89,standard Muk,muk,1.4727,1.9636,4.2182,3.6000,1.2727,1.6182,3.0182,1.7091,3.2727,55
90,Shellder,shellder,1.7222,1.7407,1.5000,2.2593,1.3519,3.7593,2.5556,2.8148,3.7593,54
91,Cloyster,cloyster,3.1636,2.7091,1.9455,2.9273,1.2364,1.8909,3.4545,2.6727,3.3455,55
92,Gastly,gastly,1.2727,1.2545,3.0727,4.3091,1.4000,3.0000,3.6727,2.6000,3.9091,55
93,Haunter,haunter,1.8727,1.5636,3.3091,4.6000,2.0909,2.6909,4.3455,2.8364,4.2364,55
94,Gigantamax Gengar,gengar-gmax,2.6364,1.1818,2.8364,4.6909,2.0000,2.2182,3.8727,2.4909,3.6727,55
94,Mega Gengar,gengar-mega,3.3818,1.5636,2.8545,4.6909,2.0909,2.2364,4.5273,3.2364,4.2364,55
94,standard Gengar,gengar,1.5455,1.4909,2.7091,4.3818,3.1091,3.0182,4.3273,2.9818,4.1273,55
95,Onix,onix,2.5455,2.7636,3.4909,3.8727,1.1455,1.5636,3.5455,2.3273,3.2545,55
96,Drowzee,drowzee,1.7857,2.1607,1.5000,3.3214,3.2143,1.8393,2.2679,1.7857,2.9643,56
97,Hypno,hypno,1.8545,2.2909,1.8909,3.5636,4.6364,1.2909,2.1091,1.4545,2.5455,55
98,Krabby,krabby,1.9091,3.7636,1.3273,1.3455,1.2364,3.0364,2.7455,2.5091,3.4000,55
99,Gigantamax Kingler,kingler-gmax,4.2727,2.7273,1.7818,3.5091,1.5455,1.6000,3.4909,2.1455,3.1273,55
99,standard Kingler,kingler,2.2545,3.2545,1.2364,1.5455,1.1273,1.9273,3.5455,2.3091,3.6182,55
100,Hisuian Voltorb,voltorb-hisui,1.5091,1.7455,3.6727,3.6000,1.3273,3.6909,3.1636,3.1455,3.8000,55
100,standard Voltorb,voltorb,1.0727,1.5455,4.7818,3.7818,1.2727,1.8182,2.9273,2.3273,3.0000,55
1000,Gholdengo,gholdengo,2.1455,1.1455,4.7273,4.3455,4.6182,2.2000,2.8545,2.2545,2.8364,55
1001,Wo-Chien,wo-chien,3.9636,3.1455,2.4000,4.5455,1.1273,2.1273,4.0727,2.7091,4.0182,55
1002,Chien-Pao,chien-pao,3.6000,2.8000,2.7818,4.2000,1.1455,3.2000,4.4182,3.7455,4.1091,55
1003,Ting-Lu,ting-lu,3.7273,2.9273,3.4545,4.3091,1.2000,1.6545,3.6727,2.6545,3.4182,55
1004,Chi-Yu,chi-yu,2.9091,2.4545,3.0545,4.4364,1.0909,3.7273,3.9818,3.9636,4.0909,55
1005,Roaring Moon,roaring-moon,4.6364,2.8909,2.2000,4.6364,1.2727,1.5818,4.3818,3.1273,3.8727,55
1006,Iron Valiant,iron-valiant,4.3519,2.6852,4.8333,4.5556,4.8333,2.2593,4.5185,3.9259,3.8704,54
1007,Koraidon,koraidon-apex-build,4.7636,2.8545,2.2909,4.4545,3.0364,2.8000,4.3091,3.5818,4.0182,55
1008,Miraidon,miraidon-ultimate-mode,4.6545,2.5273,4.7091,4.7273,1.9636,2.6000,4.4364,3.5455,4.0000,55
101,Hisuian Electrode,electrode-hisui,1.4182,1.6727,3.8182,3.5818,1.2545,2.1273,3.1818,2.3818,3.1273,55
101,standard Electrode,electrode,1.0909,1.2727,4.8182,3.8364,1.2545,1.9818,2.6727,2.4909,2.9636,55
102,Exeggcute,exeggcute,1.4364,2.0909,1.8364,2.7091,1.5273,2.2000,2.0545,1.9273,2.7818,55
103,Alolan Exeggutor,exeggutor-alola,2.2364,1.6727,1.4364,3.5091,1.4545,2.7455,3.3273,2.5273,4.0545,55
103,standard Exeggutor,exeggutor,2.2182,2.0727,1.4364,3.5455,2.5091,2.4727,2.8000,2.2727,3.5636,55
104,Cubone,cubone,2.2545,2.7818,1.6182,3.1273,2.4545,4.1636,3.9818,3.2182,4.1273,55
105,Alolan Marowak,marowak-alola,2.9273,2.3273,2.1091,4.1273,2.9091,2.4182,4.5636,3.4364,4.2000,55
105,standard Marowak,marowak,2.1273,2.9455,1.4909,3.2000,2.7273,2.7091,4.1636,3.0000,3.8727,55
106,Hitmonlee,hitmonlee,2.2364,2.0727,2.2364,3.2909,4.3091,1.5636,3.4545,2.1091,3.1091,55
107,Hitmonchan,hitmonchan,2.7455,2.7636,2.3818,2.5091,4.8545,1.8182,3.1455,2.2182,2.9091,55
108,Lickitung,lickitung,2.3148,1.5926,1.9074,3.6111,2.6852,2.5741,2.1481,2.0185,3.1481,54
109,Koffing,koffing,1.7091,1.4000,3.5818,3.9273,1.2727,2.7455,2.6545,1.9273,3.4545,55
110,Galarian Weezing,weezing-galar,3.4727,1.6727,4.0545,4.0182,1.9455,1.8182,2.7636,1.7091,3.4182,55
110,standard Weezing,weezing,2.5636,1.7273,3.7636,3.9818,1.4000,1.7273,2.8000,1.5091,3.2182,55
111,Rhyhorn,rhyhorn,3.2909,3.4182,2.1636,2.8909,1.1273,2.3455,3.7455,2.6182,3.4727,55
112,Rhydon,rhydon,3.1455,3.1091,2.0727,3.2000,2.7455,1.8364,4.2000,2.7273,3.6545,55
113,Chansey,chansey,1.6182,1.5455,1.7636,3.6182,2.7273,3.9273,2.0727,3.4364,3.3636,55
114,Tangela,tangela,2.2364,1.4727,1.8000,3.6182,2.0364,3.8364,2.8000,2.7818,3.7091,55
115,Mega Kangaskhan,kangaskhan-mega,3.1818,2.4545,1.6909,2.9636,3.2000,3.4364,3.6364,2.8545,3.6182,55
115,standard Kangaskhan,kangaskhan,3.1455,3.2909,1.5273,2.6364,3.0182,3.2364,3.8727,2.8182,3.6364,55
116,Horsea,horsea,1.6182,2.2909,1.1091,1.7273,1.0909,4.4364,2.7273,3.8000,3.8545,55
117,Seadra,seadra,2.7636,3.0545,1.3455,2.6545,1.1091,2.4000,3.9636,3.2000,3.8545,55
118,Goldeen,goldeen,1.8182,3.2545,1.3091,1.8545,1.2000,2.7818,2.1091,3.2364,2.7455,55
119,Seaking,seaking,2.3636,3.8727,1.2000,1.3818,1.1455,2.1818,2.2909,2.6182,2.8000,55
120,Staryu,staryu,2.0185,2.8704,2.9074,3.2963,1.5185,2.5741,3.2407,3.1481,3.5000,54
121,Starmie,starmie,2.6727,3.1455,3.0545,3.6909,1.2000,2.2727,3.6545,3.6727,3.6000,55
122,standard Mr. Mime,mr-mime,2.9091,1.6182,2.5636,3.8000,4.8727,1.8727,1.8182,1.7091,2.4364,55
122,Galarian Mr. Mime,mr-mime-galar,3.1852,1.6481,2.7778,3.5741,4.9074,2.0926,2.1111,1.8519,2.4074,54
123,Scyther,scyther,3.3818,3.0000,1.7091,3.4364,3.0545,1.9455,4.3818,3.0000,4.0727,55
124,Jynx,jynx,2.9273,1.9636,2.1091,3.5091,4.6727,1.7091,1.8727,1.6364,2.2727,55
125,Electabuzz,electabuzz,3.2364,1.9636,2.2182,4.1455,3.8364,1.8727,3.8545,2.1818,3.3818,55
126,Magmar,magmar,3.5091,1.8727,2.3455,4.2182,3.5273,1.5636,3.0182,1.7636,3.0727,55
127,Mega Pinsir,pinsir-mega,4.4000,2.4545,2.1455,3.5818,2.3636,1.4364,3.6545,1.9091,3.0000,55
127,standard Pinsir,pinsir,2.8000,2.7273,1.8909,2.8364,2.7818,1.3455,3.7091,1.7636,3.2727,55
128,Paldean Tauros Aqua Breed,tauros-paldea-aqua-breed,2.5273,3.5091,1.4727,2.3273,1.1273,1.9273,3.5818,2.9273,3.3273,55
128,Paldean Tauros Blaze Breed,tauros-paldea-blaze-breed,2.4364,3.5818,1.4545,2.4000,1.2364,1.9091,3.9273,3.1455,3.3455,55
128,Paldean Tauros Combat Breed,tauros-paldea-combat-breed,2.0182,3.7273,1.3455,1.6727,1.0727,1.8909,3.4545,2.8182,3.2364,55
128,standard Tauros,tauros,1.9815,4.0926,1.1852,1.6296,1.1481,2.0185,3.6667,2.7963,3.3148,54
129,Magikarp,magikarp,1.8727,2.9636,1.2545,1.5455,1.2000,2.9636,2.0545,2.4182,3.8545,55
130,Mega Gyarados,gyarados-mega,4.4182,2.9818,2.1818,4.3818,1.2000,1.5091,4.4545,2.8364,3.9636,55
130,standard Gyarados,gyarados,3.9273,3.3091,1.4545,4.2000,1.1273,1.4545,4.5273,2.4364,4.1273,55
131,Gigantamax Lapras,lapras-gmax,3.6481,2.0741,2.2963,4.5556,1.0926,3.2407,3.6296,4.0185,3.6481,54
131,standard Lapras,lapras,2.5273,3.0727,1.4182,3.6545,1.1818,4.0364,4.1636,4.5636,4.4545,55
132,Ditto,ditto,1.0727,1.1818,3.8545,3.9455,1.2000,4.1636,2.9091,2.7636,3.8727,55
133,Gigantamax Eevee,eevee-gmax,2.2727,1.5455,1.5091,2.8000,1.1273,4.3818,2.8182,3.8364,3.5091,55
133,standard Eevee,eevee,1.5273,3.2000,1.2182,2.2000,1.1636,4.8000,3.3455,4.1455,4.2364,55
134,Vaporeon,vaporeon,2.8364,2.6000,1.3636,3.9636,1.2909,4.4364,3.8000,4.3091,4.2727,55
135,Jolteon,jolteon,2.1852,2.9074,1.5926,3.1852,1.1111,3.8519,4.2222,3.4259,3.9259,54
136,Flareon,flareon,1.8364,3.2545,1.4000,2.8364,1.2545,4.0545,3.6364,3.8727,3.7818,55
137,Porygon,porygon,2.2364,1.5636,4.8182,3.9636,1.1091,3.4727,3.5455,2.9273,4.0182,55
138,Omanyte,omanyte,1.7818,2.6182,1.3273,2.2545,1.1273,4.3273,3.4182,3.2182,4.0364,55
139,Omastar,omastar,2.8364,2.9818,1.5455,2.7091,1.2000,1.7273,3.3273,1.9455,3.2182,55
140,Kabuto,kabuto,1.6364,3.1091,1.5455,2.2545,1.1455,3.2909,3.3273,2.7091,3.6909,55
141,Kabutops,kabutops,3.3818,3.4727,1.8364,3.4727,3.1636,1.6909,4.1273,2.6909,3.7636,55
142,Mega Aerodactyl,aerodactyl-mega,4.0727,2.7818,2.6000,4.0364,1.1818,1.5636,3.7455,1.9818,3.0364,55
142,standard Aerodactyl,aerodactyl,2.3455,3.4364,1.7455,2.9636,1.2364,1.7818,4.1636,2.5091,3.7636,55
143,Gigantamax Snorlax,snorlax-gmax,3.6000,1.7636,1.8727,4.2000,2.5636,3.1636,3.4727,3.1273,3.6545,55
143,standard Snorlax,snorlax,1.4727,2.0364,1.3636,2.1636,2.9636,3.6000,3.2364,2.8545,3.9091,55
144,Galarian Articuno,articuno-galar,3.4182,2.5818,2.1091,4.2000,1.8545,2.2727,4.0182,3.5818,3.6727,55
144,standard Articuno,articuno,2.6545,3.7091,1.6000,3.9636,1.2364,2.9636,3.9273,4.1091,3.9273,55
145,Galarian Zapdos,zapdos-galar,3.4000,2.6727,1.5818,3.6364,1.4545,2.0182,4.5636,3.3636,4.1455,55
145,standard Zapdos,zapdos,3.0182,2.4182,2.0909,3.8545,1.1818,1.9455,4.2000,2.9091,3.7455,55
146,Galarian Moltres,moltres-galar,3.8545,2.4909,2.1273,4.5455,1.2364,1.9636,4.6364,3.7636,4.2727,55
146,standard Moltres,moltres,2.5091,3.0909,1.8545,3.8727,1.2364,2.2000,3.4545,3.1636,3.2727,55
147,Dratini,dratini,1.3455,2.1091,1.4909,4.0182,1.0909,4.7818,3.4545,4.2000,4.2000,55
148,Dragonair,dragonair,1.7037,2.5185,1.7407,4.2963,1.1481,4.2037,4.1852,4.5926,4.3333,54
149,Dragonite,dragonite,2.0545,1.4727,1.5273,4.5273,2.6909,4.2727,3.8727,3.6545,4.1636,55
150,Mega Mewtwo X,mewtwo-mega-x,3.9091,2.5455,3.8182,4.2909,4.6545,1.5273,3.6364,2.1636,2.7273,55
150,Mega Mewtwo Y,mewtwo-mega-y,3.2909,2.1818,3.7273,4.3818,4.2364,2.6000,3.6364,3.0000,3.5273,55
