"","DexNum","PokemonName","PokeApiName","Complexity","Realism","Artificiality","Fantasy","Humanoid","Cuteness","Coolness","Beauty","Popularity","RatingCount","Generation","Region","Order","PopularitySD","MeanDesignSD","Type1","Type2","TypeID1","TypeID2","GimmickFactor"
"51",35,"Clefairy","clefairy",1.6284,1.527,2.0473,3.75,2.6622,4.3108,2.4865,3.6622,3.75,148,"1","Kanto",1,1.06004644189556,0.934673445932014,"Fairy","No 2nd Type",18,19,0
"52",36,"Clefable","clefable",1.777,1.6149,2.1486,3.8311,3.0473,3.8176,2.5608,3.4189,3.4324,148,"1","Kanto",1,1.16341855405572,1.0034890744529,"Fairy","No 2nd Type",18,19,0
"53",37,"Alolan Vulpix","vulpix-alola",1.8784,2.4257,1.527,3.3851,1.25,4.8311,3.527,4.7095,4.4797,148,"7","Alola",7,0.783871150769076,0.891503253180933,"Ice","No 2nd Type",15,19,0
"54",37,"standard Vulpix","vulpix",1.973,3.1486,1.3716,2.9527,1.1757,4.6689,3.4189,4.3851,4.2635,148,"1","Kanto",1,0.841182296070709,0.853087115333604,"Fire","No 2nd Type",10,19,0
"55",38,"Alolan Ninetales","ninetales-alola",3.1224,3.0068,1.5782,4.3469,1.2857,4.381,4.2653,4.7755,4.551,147,"7","Alola",7,0.834491767357587,0.881178982119251,"Ice","Fairy",15,18,0
"56",38,"standard Ninetales","ninetales",2.4797,3.6486,1.3514,3.6824,1.2365,3.8919,4.2973,4.6014,4.2095,148,"1","Kanto",1,0.917203287160532,0.860096237754682,"Fire","No 2nd Type",10,19,0
"57",39,"Jigglypuff","jigglypuff",1.2838,1.3581,2.3514,3.4054,2.0676,4.3311,2.4932,3.8041,3.5878,148,"1","Kanto",1,1.08384359880769,0.967876541547622,"Normal","Fairy",1,18,0
"58",40,"Wigglytuff","wigglytuff",1.5,1.4122,1.9595,3.4527,2.3378,4.1689,2.6014,3.75,3.5068,148,"1","Kanto",1,1.04297276286391,0.918377593608521,"Normal","Fairy",1,18,0
"59",41,"Zubat","zubat",1.4932,2.3851,1.3176,1.9459,1.1149,2.7297,2.8784,2.3514,3.3378,148,"1","Kanto",1,1.01711073338831,0.853981063098445,"Poison","Flying",4,3,0
"60",42,"Golbat","golbat",1.8378,1.7297,1.6149,2.6351,1.3716,2,2.9324,2.0473,3.1149,148,"1","Kanto",1,1.10120065395974,0.933138592863827,"Poison","Flying",4,3,0
"61",43,"Oddish","oddish",1.2635,1.7568,1.3581,2.6959,1.6149,4.3649,2.5405,3.3784,3.8716,148,"1","Kanto",1,0.960577004281347,0.924311447572717,"Grass","Poison",12,4,0
"62",44,"Gloom","gloom",2.0544,1.8571,1.4898,3.1429,2.5442,2.5442,2.1701,1.898,3.1429,147,"1","Kanto",1,1.17224129762773,0.953123652995737,"Grass","Poison",12,4,0
"63",45,"Vileplume","vileplume",1.9662,2.1892,1.3716,3.2095,2.4392,3.777,3.2027,3.4595,3.7568,148,"1","Kanto",1,0.934486574033539,0.980403001608261,"Grass","Poison",12,4,0
"64",46,"Paras","paras",2.277,2.6892,1.3176,2.4459,1.1486,3.2095,2.5743,2.2703,3.25,148,"1","Kanto",1,1.06463418409609,0.920089225579925,"Bug","Grass",7,12,0
"65",47,"Parasect","parasect",2.1081,2.8649,1.3243,2.6419,1.1486,2.4054,3.0135,2.4189,3.4392,148,"1","Kanto",1,1.06050951135146,0.920380076742044,"Bug","Grass",7,12,0
"66",48,"Venonat","venonat",1.8176,2.2162,1.5338,2.7568,1.6081,3.7568,2.7838,2.8581,3.6014,148,"1","Kanto",1,1.05740544823527,1.03363812764095,"Bug","Poison",7,4,0
"67",49,"Venomoth","venomoth",2.4324,3.4527,1.3108,1.7095,1.1216,2.7635,2.7838,2.7568,3.3581,148,"1","Kanto",1,1.08221008845411,0.944099288695104,"Bug","Poison",7,4,0
"68",50,"Alolan Diglett","diglett-alola",1.2027,1.3108,1.9797,2.4257,1.3919,3.4459,2.1554,2.5,2.9797,148,"7","Alola",7,1.20325502969302,0.916564601076634,"Ground","Steel",5,9,0
"69",50,"standard Diglett","diglett",1.1284,1.3176,1.9797,2.1892,1.3108,3.7703,2.4662,2.6149,3.3986,148,"1","Kanto",1,1.15144971971502,0.916730774681203,"Ground","No 2nd Type",5,19,0
"70",51,"Alolan Dugtrio","dugtrio-alola",1.8851,1.3446,2.4865,3.1757,2.1419,2.6554,2.2838,2.5,2.6689,148,"7","Alola",7,1.29650524807681,1.08054830417801,"Ground","Steel",5,9,0
"71",51,"standard Dugtrio","dugtrio",1.2635,1.4797,2.0473,2.5135,1.2838,3.1014,2.6149,2.6284,3.1689,148,"1","Kanto",1,1.08046857648763,0.914939840767517,"Ground","No 2nd Type",5,19,0
"72",52,"Alolan Meowth","meowth-alola",1.8378,1.7432,1.7905,2.3108,3.2973,3.25,2.9189,3.0203,3.0405,148,"7","Alola",7,1.17732286545763,0.974129047682181,"Dark","No 2nd Type",17,19,0
"73",52,"Galarian Meowth","meowth-galar",2.7635,1.8514,2.0811,2.8514,2.7095,2.7703,2.9459,2.1284,3.1216,148,"8","Galar",8,1.35020221411164,1.07057396385536,"Steel","No 2nd Type",9,19,0
"74",52,"Gigantamax Meowth","meowth-gmax",2.1837,1.4286,2.0476,3.7211,2.6054,3.1497,3.1497,2.6871,3.1973,147,"8","Kanto",1,1.40281280010567,1.11932110824931,"Normal","No 2nd Type",1,19,1
"75",52,"standard Meowth","meowth",1.8776,2.0204,1.6667,2.1361,2.9864,3.9456,3.1429,3.2517,3.7347,147,"1","Kanto",1,1.01234912783544,0.954856840343646,"Normal","No 2nd Type",1,19,0
"76",53,"Alolan Persian","persian-alola",1.7838,1.9189,1.5405,1.9662,1.277,2.1622,2.1757,1.8378,2.3378,148,"7","Alola",7,1.17147431974053,0.887369728849072,"Dark","No 2nd Type",17,19,0
"77",53,"standard Persian","persian",1.5068,3.8919,1.3176,1.5473,1.223,3.1486,3.5405,3.5878,3.6081,148,"1","Kanto",1,0.997531650484355,0.893723504435891,"Normal","No 2nd Type",1,19,0
"78",54,"Psyduck","psyduck",1.3605,1.9252,1.2585,1.8707,2.2653,3.9864,2.6531,2.8367,3.8912,147,"1","Kanto",1,1.06986712698214,0.979428906291288,"Water","No 2nd Type",11,19,0
"79",55,"Golduck","golduck",2.0743,2.7027,1.7973,3.0811,3.5068,2.2095,3.3311,2.6622,3.1757,148,"1","Kanto",1,1.02480199944037,0.910525357168525,"Water","No 2nd Type",11,19,0
"80",56,"Mankey","mankey",1.7703,2.6824,1.4392,2.1081,2.9662,2.6824,3.2973,2.3581,3.3649,148,"1","Kanto",1,1.12194720119934,1.04676396523509,"Fighting","No 2nd Type",2,19,0
"81",57,"Primeape","primeape",2.0878,2.0405,2.027,2.6689,3.4392,1.9865,3.5811,2.1216,3.2432,148,"1","Kanto",1,1.11271291082372,1.00335047035989,"Fighting","No 2nd Type",2,19,0
"82",58,"Hisuian Growlithe","growlithe-hisui",2.5676,2.3514,1.7838,3.0473,1.2095,4.3986,3.6892,3.5135,3.973,148,"8","Hisui",9,1.12072579008732,0.927947151129448,"Fire","Rock",10,6,0
"83",58,"standard Growlithe","growlithe",2.2925,3.1224,1.4014,2.2721,1.1361,4.4218,4.0816,3.8435,4.2789,147,"1","Kanto",1,0.909379043017742,0.842543818611018,"Fire","No 2nd Type",10,19,0
"84",59,"Hisuian Arcanine","arcanine-hisui",4,2.8919,1.9392,4.0068,1.1959,3.2635,4.4392,3.6622,4.1622,148,"8","Hisui",9,0.93586258119582,0.832027436466479,"Fire","Rock",10,6,0
"85",59,"standard Arcanine","arcanine",3.0952,3.5102,1.4354,3.0272,1.2313,3.7619,4.4694,4.0748,4.2517,147,"1","Kanto",1,0.924669732655575,0.882640379890048,"Fire","No 2nd Type",10,19,0
"86",60,"Poliwag","poliwag",1.6081,1.9932,1.4257,2.1486,1.4257,4.4054,2.5338,3.4392,3.8514,148,"1","Kanto",1,0.939845191858923,0.892105674249552,"Water","No 2nd Type",11,19,0
"87",61,"Poliwhirl","poliwhirl",1.6284,1.4054,1.8446,2.9595,3.3311,3.8446,3.1486,3.0878,3.7095,148,"1","Kanto",1,1.04465522974352,0.864314288998336,"Water","No 2nd Type",11,19,0
"88",62,"Poliwrath","poliwrath",1.5743,1.4797,1.8919,3,3.777,2.1757,3.473,2.5608,3.4054,148,"1","Kanto",1,1.09322923895727,0.890706381293506,"Water","Fighting",11,2,0
"89",63,"Abra","abra",2.5608,2.2568,2.3243,3.7973,3.5878,3.9662,3.3986,3.2027,3.8986,148,"1","Kanto",1,0.883328050114902,0.992005370406827,"Psychic","No 2nd Type",14,19,0
"90",64,"Kadabra","kadabra",3.6892,2.6014,2.6081,4.3108,4.027,1.9595,3.9189,2.6892,3.6757,148,"1","Kanto",1,0.987873885540382,0.872056158189899,"Psychic","No 2nd Type",14,19,0
"91",65,"Mega Alakazam","alakazam-mega",3.9324,2.5203,2.8176,4.5473,4.5608,1.8514,3.9865,2.7095,3.6622,148,"6","Kanto",1,1.02373226846047,0.879200059482729,"Psychic","No 2nd Type",14,19,1
"92",65,"standard Alakazam","alakazam",3.5102,2.7823,2.5986,4.2449,4.2789,1.8571,4.0408,2.7823,3.932,147,"1","Kanto",1,1.00785934626048,0.902814977913324,"Psychic","No 2nd Type",14,19,0
"93",66,"Machop","machop",1.8649,2.6824,1.6959,2.5203,4.6892,2.9932,3.1554,2.5135,3.0473,148,"1","Kanto",1,1.00897633071279,0.924525094921427,"Fighting","No 2nd Type",2,19,0
"94",67,"Machoke","machoke",2.723,3.4595,2.0811,2.6689,4.8311,1.6959,3.473,2.3446,3.0068,148,"1","Kanto",1,1.09973351576534,1.00907262449864,"Fighting","No 2nd Type",2,19,0
"95",68,"Gigantamax Machamp","machamp-gmax",3.8108,2.5743,2.5541,3.8514,4.7568,1.4122,3.7568,2.2162,3.0405,148,"8","Kanto",1,1.18570472361797,0.913388505941736,"Fighting","No 2nd Type",2,19,1
"96",68,"standard Machamp","machamp",3.1081,2.8446,2.0878,3.3108,4.7027,1.6689,4.0541,2.3446,3.6824,148,"1","Kanto",1,1.13921002834327,0.977634452502564,"Fighting","No 2nd Type",2,19,0
"97",69,"Bellsprout","bellsprout",1.449,1.8027,1.4422,2.8367,2.4422,3.4762,2.5238,2.6259,3.551,147,"1","Kanto",1,1.16749440103765,1.07602576452037,"Grass","Poison",12,4,0
"98",70,"Weepinbell","weepinbell",1.7297,1.5811,1.5473,3.0135,1.4662,2.2635,2.1081,1.9122,2.8581,148,"1","Kanto",1,1.08434894612449,0.938307975772859,"Grass","Poison",12,4,0
"99",71,"Victreebel","victreebel",2.6081,2.5743,1.3041,2.9459,1.2635,1.723,3.2635,2.0405,3.5135,148,"1","Kanto",1,1.10579851597183,0.934565740215924,"Grass","Poison",12,4,0
"100",72,"Tentacool","tentacool",2.223,2.7905,1.6824,2.3986,1.25,2.1149,3.0405,2.2297,3.1824,148,"1","Kanto",1,1.05290564605224,0.958107780610845,"Water","Poison",11,4,0
"101",73,"Tentacruel","tentacruel",3.4865,3.0405,1.6757,3.1959,1.2432,1.5608,3.8243,2.3108,3.5473,148,"1","Kanto",1,1.08285132219436,0.884559205775971,"Water","Poison",11,4,0
"102",74,"Alolan Geodude","geodude-alola",2.1216,1.9459,3.4459,3.3851,2.6622,1.9865,2.7838,2.1014,2.8041,148,"7","Alola",7,1.09457374020841,1.0252107199052,"Rock","Electric",6,13,0
"103",74,"standard Geodude","geodude",1.5,2.1149,3.25,3.1824,2.6757,1.9865,3.0676,2.1419,3.0743,148,"1","Kanto",1,1.05768640978367,1.11520864168748,"Rock","Ground",6,5,0
"104",75,"Alolan Graveler","graveler-alola",3.2653,2.2041,3.5714,3.381,2.585,1.6054,2.932,1.8639,2.7279,147,"7","Alola",7,1.09766494974313,0.953465930357845,"Rock","Electric",6,13,0
"105",75,"standard Graveler","graveler",2.4662,2.5608,3.1486,3.2365,2.7973,1.6014,3.0811,2,3.0473,148,"1","Kanto",1,1.0675461852118,1.07632221525965,"Rock","Ground",6,5,0
"106",76,"Alolan Golem","golem-alola",3.6216,2.1419,3.7905,3.7973,2.6959,1.4527,3.2297,1.7973,2.9595,148,"7","Alola",7,1.24595767128211,0.945829122152288,"Rock","Electric",6,13,0
"107",76,"standard Golem","golem",2.4189,2.5541,2.777,3.3311,2.5,1.6689,3.3514,2.1622,3.1959,148,"1","Kanto",1,1.11891838056104,1.03269362434361,"Rock","Ground",6,5,0
"108",77,"Galarian Ponyta","ponyta-galar",2.5608,1.9797,1.8716,4.3514,1.2027,4.6959,3.2297,4.5878,4.027,148,"8","Galar",8,1.01971078269803,0.84860540080044,"Psychic","No 2nd Type",14,19,0
"109",77,"standard Ponyta","ponyta",1.8243,3.3311,1.6824,3.4662,1.1622,4.1081,3.7297,4.0811,3.9054,148,"1","Kanto",1,0.832919303039728,0.834621568842144,"Fire","No 2nd Type",10,19,0
"110",78,"Galarian Rapidash","rapidash-galar",3.1554,2.6419,1.9324,4.3919,1.2095,3.473,3.5203,4.2027,3.5811,148,"8","Galar",8,1.07812094739396,1.0272899183269,"Psychic","Fairy",14,18,0
"111",78,"standard Rapidash","rapidash",2.3851,3.7568,1.6757,3.9257,1.2095,2.9797,4.0608,3.9527,3.8176,148,"1","Kanto",1,0.877936479280158,0.932028658284049,"Fire","No 2nd Type",10,19,0
"112",79,"Galarian Slowpoke","slowpoke-galar",1.6216,1.7703,1.5878,2.6554,1.3311,3.8514,2.7432,2.7568,3.6554,148,"8","Galar",8,1.07623491506419,0.940250221402755,"Psychic","No 2nd Type",14,19,0
"113",79,"standard Slowpoke","slowpoke",1.5135,1.7027,1.5743,2.4324,1.3514,3.75,2.6284,2.7162,3.9189,148,"1","Kanto",1,0.948067119826507,0.949953120259587,"Water","Psychic",11,14,0
"114",80,"Galarian Slowbro","slowbro-galar",2.9459,1.7905,2.1014,3.6824,2.7297,3.3108,3.4122,2.6622,3.8176,148,"8","Galar",8,1.07198453348414,0.972288061552027,"Poison","Psychic",4,14,0
"115",80,"Mega Slowbro","slowbro-mega",2.7297,1.4459,2.1757,3.8581,1.8986,3.3514,2.7365,2.723,3.3716,148,"6","Kanto",1,1.15243810530524,1.02483603190203,"Water","Psychic",11,14,1
"116",80,"standard Slowbro","slowbro",2.5608,1.8378,1.8986,3.277,2.4459,3.5541,2.9527,2.7432,3.8851,148,"1","Kanto",1,0.948139348925958,0.966961206295236,"Water","Psychic",11,14,0
"117",81,"Magnemite","magnemite",1.7973,2.1486,4.723,3.4257,1.2635,3.1081,3.1757,2.8581,3.6216,148,"1","Kanto",1,1.02275069883376,0.976254862403378,"Electric","Steel",13,9,0
"118",82,"Magneton","magneton",2.6419,2.3784,4.7635,3.3851,1.1216,2.6014,3.2973,2.7703,3.4865,148,"1","Kanto",1,1.12397993686099,0.959386897462545,"Electric","Steel",13,9,0
"119",83,"Galarian Farfetch’d","farfetchd-galar",2.2162,2.6284,1.5068,2.5405,1.9662,2.6757,3.8311,3.0946,3.5946,148,"8","Galar",8,1.07072744808326,0.943675128171944,"Fighting","No 2nd Type",2,19,0
"120",83,"standard Farfetch’d","farfetchd",1.7297,2.8243,1.4324,1.7162,1.8378,3.1216,3.0068,2.8851,3.3311,148,"1","Kanto",1,1.05515794586553,0.906359369893125,"Normal","Flying",1,3,0
"121",84,"Doduo","doduo",1.7143,2.7075,1.551,2.6395,1.2925,3.6259,2.8163,3.034,3.517,147,"1","Kanto",1,0.992171681823376,0.930492877405026,"Normal","Flying",1,3,0
"122",85,"Dodrio","dodrio",2.6284,2.7162,1.5743,3.2905,1.3378,2.0878,3.3243,2.4459,3.4459,148,"1","Kanto",1,1.0544870905351,0.972789149602482,"Normal","Flying",1,3,0
"123",86,"Seel","seel",1.3378,2.75,1.25,1.5608,1.2432,3.8378,2.3243,2.9865,3.1419,148,"1","Kanto",1,1.15088691913411,0.918284369020672,"Water","No 2nd Type",11,19,0
"124",87,"Dewgong","dewgong",1.3919,3.2162,1.3041,1.7095,1.1689,4.1622,2.8514,3.9662,3.4392,148,"1","Kanto",1,1.07317633718506,0.915637853584841,"Water","Ice",11,15,0
"125",88,"Alolan Grimer","grimer-alola",1.6757,1.3649,3.8784,3.9662,1.8176,2.527,2.5676,1.8851,3.2568,148,"7","Alola",7,1.13376687163239,0.955330421859165,"Poison","Dark",4,17,0
"126",88,"standard Grimer","grimer",1.5203,1.473,3.8784,3.4932,1.5203,2.5405,2.5203,1.9189,3.223,148,"1","Kanto",1,1.0955743029679,0.988910702526174,"Poison","No 2nd Type",4,19,0
