"","X..dex","pokemon","pokeapi.name","complexity","realism","artificiality","fantasy","humanoid","cuteness","coolness","beauty","popularity","rating.count"
"54",89,"Alolan Muk","muk-alola",2.7885,1.75,4.3269,4.0577,1.3462,1.4615,3.5577,1.9038,3.6538,52
"55",92,"Gastly","gastly",1.2885,1.2692,3.1538,4.3077,1.4231,3.0192,3.6731,2.6154,3.8654,52
"56",93,"Haunter","haunter",1.8824,1.5882,3.3333,4.5882,2.1373,2.7059,4.3137,2.8431,4.2157,51
"57",94,"Gigantamax Gengar","gengar-gmax",2.6275,1.1961,2.7843,4.6667,2.0588,2.2157,3.8824,2.4706,3.7059,51
"58",94,"Mega Gengar","gengar-mega",3.4231,1.5962,2.8462,4.6923,2.0962,2.2885,4.5769,3.2692,4.3077,52
"59",94,"standard Gengar","gengar",1.549,1.5098,2.6471,4.3725,3.1765,3.0392,4.3137,2.9804,4.098,51
"60",99,"standard Kingler","kingler",2.2157,3.2941,1.1961,1.549,1.1373,1.9412,3.5686,2.3333,3.6667,51
"61",1001,"Wo-Chien","wo-chien",3.9423,3.1346,2.3846,4.5577,1.1346,2.1731,4.0962,2.7692,4.0769,52
"62",1002,"Chien-Pao","chien-pao",3.5882,2.8039,2.7843,4.1373,1.1569,3.2549,4.451,3.7647,4.1373,51
"63",1004,"Chi-Yu","chi-yu",2.8654,2.4423,3.0192,4.4038,1.0962,3.75,4.0577,3.9423,4.0769,52
"64",1005,"Roaring Moon","roaring-moon",4.6078,2.8431,2.1765,4.6078,1.2941,1.5882,4.3725,3.1176,3.8431,51
"65",1006,"Iron Valiant","iron-valiant",4.3462,2.6346,4.8269,4.5385,4.8269,2.2308,4.5192,3.8846,3.8269,52
"66",1007,"Koraidon","koraidon-apex-build",4.7692,2.8462,2.3269,4.4615,3.0192,2.8846,4.2692,3.5577,3.9808,52
"67",1008,"Miraidon","miraidon-ultimate-mode",4.6471,2.5882,4.7255,4.7059,2.0196,2.549,4.4118,3.5098,3.9804,51
"68",103,"Alolan Exeggutor","exeggutor-alola",2.2115,1.6731,1.4231,3.4615,1.4423,2.75,3.3462,2.5192,4.0962,52
"69",104,"Cubone","cubone",2.2692,2.8077,1.6154,3.1346,2.4615,4.1538,3.9615,3.25,4.1346,52
"70",105,"Alolan Marowak","marowak-alola",2.9231,2.2885,2.0769,4.1538,2.9038,2.3654,4.5769,3.4423,4.2308,52
"71",105,"standard Marowak","marowak",2.1176,2.9608,1.451,3.1373,2.7451,2.6471,4.1373,2.9412,3.8431,51
"72",112,"Rhydon","rhydon",3.1373,3.0392,2.0588,3.1176,2.6863,1.8235,4.1765,2.7647,3.6275,51
"73",115,"Mega Kangaskhan","kangaskhan-mega",3.1538,2.4808,1.6923,2.9231,3.1731,3.4231,3.6346,2.8077,3.5769,52
"74",115,"standard Kangaskhan","kangaskhan",3.1154,3.3077,1.5192,2.6538,3.0385,3.2308,3.8654,2.8269,3.6346,52
"75",117,"Seadra","seadra",2.7451,3.1176,1.3529,2.6275,1.1176,2.4118,3.9412,3.1765,3.8431,51
"76",121,"Starmie","starmie",2.6667,3.1373,3,3.7059,1.2157,2.3333,3.6667,3.6471,3.6078,51
"77",123,"Scyther","scyther",3.3725,3.0196,1.7451,3.4902,3.0784,1.9608,4.3529,3.0588,4.0392,51
"78",130,"Mega Gyarados","gyarados-mega",4.3846,2.9231,2.1923,4.3654,1.2115,1.5192,4.4423,2.8269,3.9808,52
"79",130,"standard Gyarados","gyarados",3.8824,3.2941,1.4706,4.1765,1.1176,1.4706,4.5294,2.4118,4.1176,51
"80",131,"Gigantamax Lapras","lapras-gmax",3.6154,2.0962,2.3077,4.5385,1.0769,3.2308,3.5962,4.0192,3.6346,52
"81",131,"standard Lapras","lapras",2.6078,3.1765,1.4314,3.7451,1.1961,4.0196,4.1373,4.5686,4.451,51
"82",133,"standard Eevee","eevee",1.5577,3.25,1.2308,2.2115,1.1731,4.7885,3.4038,4.1346,4.2115,52
"83",134,"Vaporeon","vaporeon",2.8627,2.5686,1.3529,3.9412,1.2745,4.4118,3.7647,4.2745,4.2745,51
"84",135,"Jolteon","jolteon",2.1569,2.9608,1.549,3.1765,1.098,3.8824,4.2745,3.4902,3.9412,51
"85",136,"Flareon","flareon",1.8462,3.2115,1.4038,2.8269,1.2308,4.0385,3.6154,3.8462,3.7692,52
"86",137,"Porygon","porygon",2.2549,1.5882,4.8235,3.9608,1.1176,3.4706,3.5686,2.9216,4,51
"87",138,"Omanyte","omanyte",1.75,2.6538,1.3269,2.3077,1.1346,4.3077,3.3846,3.2115,4.0192,52
"88",140,"Kabuto","kabuto",1.6346,3.1346,1.5385,2.2115,1.1538,3.3077,3.3654,2.7115,3.7115,52
"89",141,"Kabutops","kabutops",3.3725,3.5098,1.8431,3.5098,3.1961,1.7059,4.1569,2.7059,3.7843,51
"90",142,"standard Aerodactyl","aerodactyl",2.3529,3.4902,1.7647,2.8824,1.2549,1.7647,4.1569,2.5098,3.7255,51
"91",143,"Gigantamax Snorlax","snorlax-gmax",3.6154,1.7885,1.9038,4.1731,2.5192,3.1154,3.4808,3.1154,3.6154,52
"92",144,"Galarian Articuno","articuno-galar",3.4118,2.549,2.0392,4.1765,1.902,2.2549,3.9804,3.5294,3.6471,51
"93",144,"standard Articuno","articuno",2.5962,3.7115,1.5962,3.9808,1.2115,2.9423,3.9615,4.1538,3.9615,52
"94",145,"Galarian Zapdos","zapdos-galar",3.4231,2.6346,1.5962,3.6538,1.4038,2.0577,4.5385,3.3077,4.1538,52
"95",145,"standard Zapdos","zapdos",3.0577,2.4231,2.0577,3.8654,1.1923,1.9615,4.1923,2.9423,3.75,52
"96",146,"Galarian Moltres","moltres-galar",3.8269,2.4808,2.1154,4.5192,1.25,1.9808,4.6346,3.75,4.25,52
"97",147,"Dratini","dratini",1.3654,2.1346,1.4615,4.0385,1.0962,4.7885,3.4808,4.2308,4.2115,52
"98",148,"Dragonair","dragonair",1.7059,2.4902,1.7843,4.3529,1.1373,4.1961,4.1765,4.5882,4.3333,51
"99",149,"Dragonite","dragonite",2.0588,1.451,1.5294,4.5294,2.7059,4.3137,3.9216,3.7059,4.1961,51
"100",150,"standard Mewtwo","mewtwo",3.0784,2.9608,3.3333,4.1373,4.3137,2.0588,4.3725,2.8039,4,51
"101",151,"Mew","mew",1.3846,1.6923,1.8077,3.6923,2.4231,4.5192,3.5769,3.9615,4.2308,52
"102",153,"Bayleef","bayleef",2.1961,2.1961,1.3333,3.6078,1.2353,4.2157,3.5098,3.8431,3.9804,51
"103",155,"Cyndaquil","cyndaquil",1.7885,2.2692,1.5192,3.2115,1.25,4.75,3.9423,3.4808,4.4038,52
"104",156,"Quilava","quilava",2.0385,2.6154,1.5577,3.4423,1.7308,4,4.1731,3.5962,4.2308,52
"105",157,"Hisuian Typhlosion","typhlosion-hisui",2.9423,2.5,2.0577,4.1731,3.0769,3.2115,4.2115,3.7308,4.0962,52
"106",157,"standard Typhlosion","typhlosion",2.0192,3.1923,1.4808,3.0962,2.3269,2.8846,4.4231,3.3462,4.1154,52
"107",158,"Totodile","totodile",2.1731,1.9038,1.3077,2.3846,2.25,4.5,4.0577,3.3654,4.25,52
"108",159,"Croconaw","croconaw",2.4902,1.9804,1.7451,2.8824,2.5882,2.7647,3.5686,2.3922,3.5686,51
"109",160,"Feraligatr","feraligatr",3.1569,2.6471,1.549,3.0392,3.2745,1.902,4.1569,2.4314,3.8039,51
"110",164,"Noctowl","noctowl",2.0588,3.7059,1.1765,1.4902,1.2549,2.5294,3.4706,3.1176,3.7059,51
"111",166,"Ledian","ledian",2.0392,2.0392,1.8235,2.7647,3.2745,3.8627,3.5098,3.4902,3.6078,51
"112",168,"Ariados","ariados",2.9231,3.2692,1.5,2.4423,1.0962,2.1538,3.5577,2.7308,3.5962,52
"113",169,"Crobat","crobat",2.0577,2.2115,1.4615,2.9615,1.1923,2.5192,4.3269,2.8269,4.2115,52
"114",179,"Mareep","mareep",1.8077,2.3654,1.8462,2.7115,1.1154,4.6154,3.3269,4.0577,4.3077,52
"115",181,"Mega Ampharos","ampharos-mega",3.2308,1.8462,2.4038,4.2692,2.9615,3.8462,3.8654,4.1154,3.9423,52
"116",181,"standard Ampharos","ampharos",2.0588,1.8627,1.9608,3.3922,2.7255,3.9216,3.6471,3.5294,3.9804,51
"117",194,"Wooper Paldean","wooper-paldea",1.5962,1.5577,1.6923,2.6538,1.9423,4.5962,3.3462,3.3462,4.3077,52
"118",196,"Espeon","espeon",1.7885,3.25,1.6154,3.7692,1.2115,3.9808,4.0385,4.6346,4.1731,52
"119",197,"Umbreon","umbreon",2.0577,2.9423,1.5577,3.1538,1.1346,4.2115,4.6346,4.3846,4.4808,52
"120",198,"Murkrow","murkrow",2.0577,2.5385,1.4423,2.3269,1.3846,3.4615,3.75,3.1154,3.9231,52
"121",200,"Misdreavus","misdreavus",2.1731,1.7308,3.0192,4.4231,2.3077,4.3077,3.4038,4,3.9038,52
"122",207,"Gligar","gligar",2.3846,1.5385,1.6538,3.1346,2.3846,3.8654,3.8269,2.6923,3.8846,52
"123",208,"Mega Steelix","steelix-mega",4.5,2.7308,3.8654,4.5769,1.1346,1.4615,4.3077,2.7115,3.8846,52
"124",208,"standard Steelix","steelix",3.1765,2.8627,3.6275,3.8824,1.1569,1.3725,4.3922,2.4314,3.9804,51
"125",212,"Mega Scizor","scizor-mega",4.2157,2.5294,4.1176,4.0784,3.8235,1.8824,4.2745,2.9804,3.7059,51
"126",212,"standard Scizor","scizor",3.451,2.5686,3.3725,3.9804,3.9412,1.902,4.5882,3.549,4.1176,51
"127",214,"standard Heracross","heracross",2.6346,3.3269,1.4038,2.25,2.8077,3.5962,4.25,3,4.0385,52
"128",215,"Hisuian Sneasel","sneasel-hisui",2.9608,2,1.7647,3.3137,3.4902,3.7255,4.0784,3.5294,3.9608,51
"129",215,"standard Sneasel","sneasel",2.3654,2.3077,1.9231,3.5577,3.3846,3.6731,4.1346,3.6154,4.0769,52
"130",219,"Magcargo","magcargo",2.6346,2.3269,2.4231,3.8654,1.3077,3.1346,3.3654,2.4423,3.6346,52
"131",222,"Galarian Corsola","corsola-galar",2.451,2.2941,2,3.6275,1.1569,3.7255,3.549,3.1176,3.9804,51
"132",227,"Skarmory","skarmory",3.3462,2.7885,3.6346,4.0192,1.25,2.25,4.2115,3,3.8269,52
"133",228,"Houndour","houndour",2.1373,2.8627,1.7255,2.9412,1.098,3.4118,3.9216,2.8824,3.6667,51
"134",229,"Mega Houndoom","houndoom-mega",4.1538,2.9615,2.0962,4.0962,1.1346,2.0192,4.5,3.3846,3.9231,52
"135",229,"standard Houndoom","houndoom",2.8431,2.8235,1.7255,3.5294,1.1176,2.5686,4.3529,3.1961,3.8627,51
"136",230,"Kingdra","kingdra",2.8654,3.5577,1.5,2.9615,1.1923,2.4808,4,3.4038,3.8846,52
"137",232,"Donphan","donphan",2.8654,3,1.9615,2.5,1.2308,2.25,3.9615,2.7308,3.8654,52
"138",233,"Porygon2","porygon2",1.5294,1.4706,4.6078,3.8431,1.1569,3.902,3.5882,3.3333,3.9412,51
"139",239,"Elekid","elekid",2.1538,1.5577,3.4615,3.9231,3.4808,3.5577,3.7115,2.6346,3.6923,52
"140",243,"Raikou","raikou",3.9615,2.9615,1.9615,4.5962,1.1923,2.5769,4.5,3.5385,4.1154,52
"141",244,"Entei","entei",3.8077,3.1538,1.9231,4.4423,1.2885,2.2885,4.5385,3.6154,4.0385,52
"142",245,"Suicune","suicune",3.6471,3.1373,1.9804,4.451,1.2157,3.1176,4.5098,4.451,4.3137,51
"143",246,"Larvitar","larvitar",2.2885,2.3654,2.2308,3.4423,2.0962,3.6154,3.7692,2.9808,3.8462,52
"144",248,"standard Tyranitar","tyranitar",3.4314,2.8039,2.5294,4.1569,2.2549,1.7647,4.5686,2.6667,4.2549,51
"145",249,"Lugia","lugia",2.7647,2.5294,1.9608,4.2941,1.8039,2.8039,4.4314,3.8431,4.2353,51
"146",250,"Ho-Oh","ho-oh",3.5962,3.1923,1.5385,4.0769,1.2308,2.7115,4.5,4.4038,4.3462,52
"147",251,"Celebi","celebi",2.2692,1.8269,1.6923,4.5577,3.3462,4.4808,3.4038,4.2115,4.1923,52
"148",252,"Treecko","treecko",1.9808,2.1538,1.4423,2.5192,3.1154,3.8462,3.8654,3.1731,4.0769,52
"149",253,"Grovyle","grovyle",2.8654,3.0385,1.5385,3.1346,2.9038,2.9423,4.4038,3.4423,4.3654,52
"150",254,"Mega Sceptile","sceptile-mega",4.2308,2.9423,2,4.3077,2.9231,2.0192,4.5385,3.2308,4.1154,52
"151",254,"standard Sceptile","sceptile",3.5192,2.9615,1.3269,3.6346,3.2115,2.5192,4.4423,3.4038,4.1346,52
"152",257,"Mega Blaziken","blaziken-mega",4.0577,2.7115,2.2885,4.2308,4.6731,2.0385,4.3269,3.1731,3.9808,52
"153",257,"standard Blaziken","blaziken",3.4231,2.5962,1.8462,3.9038,4.6154,2.0769,4.2308,3.0385,3.7692,52
"154",258,"Mudkip","mudkip",1.9038,2.0769,1.4231,2.6154,1.2308,4.7308,3.4423,3.6346,4.3654,52
"155",260,"Mega Swampert","swampert-mega",3.8462,1.9808,2.0769,3.6154,3.1731,2.1346,4.1923,2.5962,3.75,52
"156",260,"standard Swampert","swampert",3.3725,2.8824,1.549,3.2941,1.9608,2.7059,3.9412,2.6667,4.0392,51
"157",261,"Poochyena","poochyena",1.7692,3.2115,1.1346,1.4423,1.1731,3.5,3.4423,2.7692,3.6538,52
"158",262,"Mightyena","mightyena",2.549,3.9608,1.3725,1.7451,1.2157,2.5686,4.098,3.1569,3.8824,51
"159",263,"Galarian Zigzagoon","zigzagoon-galar",2.5,2.0769,1.6154,2.7692,1.1538,4.3462,4.0385,3.0962,4.1923,52
"160",276,"Taillow","taillow",1.6275,3.2157,1.2745,1.451,1.1373,3.8039,3.3333,3.4706,3.6078,51
"161",282,"Mega Gardevoir","gardevoir-mega",3.2308,2.3846,2.2885,4.4231,4.8654,3.75,3.7115,4.4038,3.9615,52
"162",282,"standard Gardevoir","gardevoir",2.6923,2.5,2.2885,4.1923,4.6346,3.5769,3.75,4.4615,4.0192,52
"163",286,"Breloom","breloom",2.9808,2.0192,1.6538,3.8654,3.1346,3.9423,3.9423,3.2885,4.2692,52
"164",291,"Ninjask","ninjask",3.1731,3.5577,1.9231,2.5769,1.1923,2.75,4.0962,3.1346,3.8269,52
"165",292,"Shedinja","shedinja",2.8269,2.8077,2.3654,4.0769,1.2308,2.75,3.8269,2.8846,4.0769,52
"166",302,"Mega Sableye","sableye-mega",3.2353,1.7843,3.2549,4.4706,3.6078,3.2549,4.0784,3.0392,4.0784,51
"167",302,"standard Sableye","sableye",2.4118,2.0784,3.0588,4.4706,3.8235,3.0588,4.0784,2.8431,4.2157,51
"168",303,"Mega Mawile","mawile-mega",4.1176,2.3725,2.6275,4.4118,4.098,3.2745,4.3333,3.4902,3.9412,51
"169",303,"standard Mawile","mawile",3.1569,2.2157,2.3529,4.1961,4,3.6275,3.7451,3.3137,3.7843,51
"170",304,"Aron","aron",2.1154,1.7885,3.5192,3.4423,1.2115,4.1731,3.5962,3.0769,3.8846,52
"171",305,"Lairon","lairon",3.6471,2.902,3.0588,3.7255,1.1373,2.6863,4.1373,2.7059,3.8039,51
"172",306,"Mega Aggron","aggron-mega",4.4808,2.8846,3.8077,4.1923,2.3462,1.4231,4.3654,2.4231,3.7308,52
"173",306,"standard Aggron","aggron",4.0588,3.0588,3.3333,4,2.1765,1.6863,4.4902,2.5686,4.1176,51
"174",318,"Carvanha","carvanha",2.8077,2.6923,1.5769,2.5,1.1154,2.0769,3.8462,2.0962,3.5769,52
"175",319,"standard Sharpedo","sharpedo",2.5577,2.8077,2.0577,2.8077,1.1731,1.6538,4.3269,2.6346,3.9038,52
"176",321,"Wailord","wailord",1.6731,2.5,1.4038,1.9808,1.1538,3.3077,3.4615,2.9808,3.8077,52
"177",324,"Torkoal","torkoal",3,2.8431,1.9804,3.1961,1.1569,3.0196,3.451,2.5882,3.6275,51
"178",329,"Vibrava","vibrava",2.9038,3.3269,1.3462,2.5577,1.1154,3.6346,3.7692,3.3077,4.0192,52
"179",330,"Flygon","flygon",3.4231,2.4808,1.8077,4.2885,1.3846,3.8462,4.5962,3.8846,4.5385,52
"180",331,"Cacnea","cacnea",2.2692,1.8846,1.5,3.0577,2.7115,4.1346,3.3654,2.8462,4,52
"181",332,"Cacturne","cacturne",2.5192,2.25,1.8846,3.6923,4.1154,1.9038,3.6538,2.2885,3.5577,52
"182",334,"Mega Altaria","altaria-mega",3.3137,2,1.7843,4.451,1.1961,4.2157,3.6667,4.3725,4.0196,51
"183",334,"standard Altaria","altaria",2.0962,2.0385,1.8654,3.9808,1.1538,4.1923,3.4038,4.3654,4.0577,52
"184",335,"Zangoose","zangoose",2.4808,2.9231,1.5192,2.4423,3.1154,2.4231,4.1346,2.8462,3.7308,52
"185",336,"Seviper","seviper",3.1176,2.7255,1.4314,2.451,1.098,2.1176,4.0392,3.0588,3.5882,51
"186",342,"Crawdaunt","crawdaunt",3.7885,3.3654,1.6346,2.7885,1.3269,1.7115,3.9231,2.2692,3.5577,52
"187",348,"Armaldo","armaldo",4.0784,2.7843,1.9608,3.5098,2.3725,2.2353,3.6471,2.5294,3.7059,51
"188",350,"Milotic","milotic",3.0196,3.098,1.451,3.9608,1.4706,3.8039,4.1176,4.6275,4.1176,51
"189",354,"Mega Banette","banette-mega",3.8077,1.9038,4.0385,4.6346,3.5192,2.7885,4.3269,3.1154,4.1154,52
"190",354,"standard Banette","banette",2.3269,1.9231,4.0962,4.2115,3.4423,2.9423,4,2.9231,4.0385,52
"191",355,"Duskull","duskull",2.0588,2,3.098,4.451,2.1373,3.2745,3.7255,2.7255,4.0784,51
"192",356,"Dusclops","dusclops",2.8235,1.8824,3.5294,4.2353,3.5294,2.1373,3.6667,2.3725,3.6078,51
"193",357,"Tropius","tropius",3,3.1154,1.2885,3.8462,1.1154,2.8846,3.8077,3.5192,3.8462,52
"194",359,"Mega Absol","absol-mega",3.8039,2.7647,1.7255,4.6667,1.6078,3.4706,4.4706,4.3725,4.2549,51
"195",359,"standard Absol","absol",2.6275,3.3137,1.7255,4.0588,1.3922,3.451,4.4118,4.2549,4.1961,51
"196",363,"Spheal","spheal",1.2549,1.5882,1.451,2.2353,1.1765,4.8039,3.3529,4,4.3922,51
"197",371,"Bagon","bagon",2.0392,1.8431,1.7843,3.451,1.9804,3.4314,3.3137,2.4118,3.549,51
"198",373,"standard Salamence","salamence",2.9608,2.5294,2.0392,4.1961,1.1373,1.8235,4.1373,2.8431,3.7255,51
"199",374,"Beldum","beldum",2.6154,3.1538,4.6154,4.0192,1.1731,2.9231,3.5,2.7308,3.5769,52
"200",375,"Metang","metang",3.5,3.1731,4.7885,4.2115,1.4038,1.9615,3.9231,2.6154,3.7885,52
"201",376,"Mega Metagross","metagross-mega",4.4615,2.8462,4.7115,4.4038,1.3654,1.6731,4.4808,2.75,3.9808,52
"202",376,"standard Metagross","metagross",4.0385,3.0769,4.7692,4.25,1.3077,1.4038,4.5962,2.8269,4.1923,52
"203",377,"Regirock","regirock",3.2353,3.1961,4.3922,4.2353,3.5882,1.6471,3.8431,2.4706,3.5686,51
"204",378,"Regice","regice",2.6667,2.6471,4.3725,4.3922,3.0392,1.8235,3.6863,3.1765,3.6275,51
"205",379,"Registeel","registeel",2.8462,2.7692,4.8269,4.2692,3.6154,1.6538,3.8269,2.8269,3.7692,52
"206",380,"standard Latias","latias",2.9038,2.1154,2.9615,4.4615,1.7885,4.1731,3.7308,4.0192,4.1154,52
"207",381,"standard Latios","latios",3.2941,2.4706,3.1765,4.3922,1.5686,3.0392,4.2157,3.7647,3.8431,51
"208",382,"Primal Kyogre","kyogre-primal",4.2157,3.1765,2.2549,4.5294,1.1765,2.2353,4.3529,3.8039,4.0588,51
"209",382,"standard Kyogre","kyogre",3.5577,3.2115,2.0769,4.0769,1.1346,2.0962,4.3846,3.6346,4.25,52
"210",383,"Primal Groudon","groudon-primal",4.5,3,2.6154,4.7885,1.8654,1.4423,4.6731,3.2115,4.2885,52
"211",383,"standard Groudon","groudon",4.3077,2.8462,2.5385,4.4423,2.0192,1.6154,4.5192,2.8462,4.1731,52
"212",384,"Mega Rayquaza","rayquaza-mega",4.8654,2.7308,2.9423,4.9615,1.1923,1.6346,4.6923,3.6154,4.2115,52
"213",384,"standard Rayquaza","rayquaza",4.4314,3.098,2.9608,4.6471,1.2353,1.3333,4.3922,3.1373,4.098,51
