"","X..dex","pokemon","pokeapi.name","complexity","realism","artificiality","fantasy","humanoid","cuteness","coolness","beauty","popularity","rating.count"
"54",60,"Poliwag","poliwag",1.5686,2.2353,1.3137,2.098,1.4118,4.1961,2.5686,3.2353,3.6667,51
"55",61,"Poliwhirl","poliwhirl",1.6471,1.4314,1.7451,2.9608,3.4118,3.8431,2.9412,3.0588,3.6863,51
"56",63,"Abra","abra",2.6731,2.3846,2.1538,3.6923,3.6346,4.0385,3.3269,3.0769,3.9038,52
"57",64,"Kadabra","kadabra",3.5385,2.5385,2.4423,4.4038,4,1.9038,3.9423,2.7885,3.7308,52
"58",65,"Mega Alakazam","alakazam-mega",3.8824,2.2157,2.6078,4.6078,4.5882,1.7647,3.8824,2.6275,3.6863,51
"59",65,"standard Alakazam","alakazam",3.4615,2.7692,2.3077,4.4038,4.3077,1.6923,4.1538,2.7308,4.0962,52
"60",68,"standard Machamp","machamp",3.1176,2.6863,1.8039,3.5098,4.7451,1.6863,4.2353,2.3137,3.8235,51
"61",71,"Victreebel","victreebel",2.4902,2.3922,1.2549,3,1.2745,1.9412,3.2745,2.0196,3.7059,51
"62",73,"Tentacruel","tentacruel",3.4118,3.0588,1.451,3.1569,1.1569,1.3922,3.9804,2.2745,3.7451,51
"63",77,"Galarian Ponyta","ponyta-galar",2.2308,1.7692,1.6538,4.2308,1.1538,4.7115,3.2308,4.5962,4.0385,52
"64",77,"standard Ponyta","ponyta",1.9231,3.3462,1.5192,3.4615,1.1346,4.0192,3.7692,4.1538,3.8269,52
"65",78,"standard Rapidash","rapidash",2.4423,3.5385,1.5962,4.0769,1.1923,3,4.0385,4,3.6923,52
"66",79,"Galarian Slowpoke","slowpoke-galar",1.6275,1.7843,1.3725,2.6275,1.1373,3.8627,2.5882,2.6863,3.6078,51
"67",79,"standard Slowpoke","slowpoke",1.5962,1.75,1.3846,2.4423,1.2885,3.9615,2.75,2.7308,4.0385,52
"68",80,"Galarian Slowbro","slowbro-galar",2.8654,1.9231,2.0769,3.6923,2.8462,3.1538,3.3269,2.5192,3.75,52
"69",80,"standard Slowbro","slowbro",2.5385,1.9808,1.7308,3.2692,2.1731,3.4615,3.0192,2.5577,3.8462,52
"70",81,"Magnemite","magnemite",1.7255,2.1765,4.8627,3.5098,1.1569,3.3922,3.2549,2.8824,3.8627,51
"71",82,"Magneton","magneton",2.6154,2.2692,4.8462,3.7308,1.1923,2.6538,3.3654,2.8077,3.6346,52
"72",83,"Galarian Farfetch’d","farfetchd-galar",2.1923,2.6154,1.4615,2.4808,1.9615,2.5,3.9038,3.0769,3.75,52
"73",89,"Alolan Muk","muk-alola",2.7885,1.75,4.3269,4.0577,1.3462,1.4615,3.5577,1.9038,3.6538,52
"74",90,"Shellder","shellder",1.7308,1.7115,1.4808,2.2692,1.3462,3.7692,2.5769,2.8269,3.7885,52
"75",92,"Gastly","gastly",1.2885,1.2692,3.1538,4.3077,1.4231,3.0192,3.6731,2.6154,3.8654,52
"76",93,"Haunter","haunter",1.8824,1.5882,3.3333,4.5882,2.1373,2.7059,4.3137,2.8431,4.2157,51
"77",94,"Gigantamax Gengar","gengar-gmax",2.6275,1.1961,2.7843,4.6667,2.0588,2.2157,3.8824,2.4706,3.7059,51
"78",94,"Mega Gengar","gengar-mega",3.4231,1.5962,2.8462,4.6923,2.0962,2.2885,4.5769,3.2692,4.3077,52
"79",94,"standard Gengar","gengar",1.549,1.5098,2.6471,4.3725,3.1765,3.0392,4.3137,2.9804,4.098,51
"80",99,"standard Kingler","kingler",2.2157,3.2941,1.1961,1.549,1.1373,1.9412,3.5686,2.3333,3.6667,51
"81",100,"Hisuian Voltorb","voltorb-hisui",1.5385,1.7308,3.6346,3.6154,1.2692,3.7308,3.1923,3.1731,3.8269,52
"82",1001,"Wo-Chien","wo-chien",3.9423,3.1346,2.3846,4.5577,1.1346,2.1731,4.0962,2.7692,4.0769,52
"83",1002,"Chien-Pao","chien-pao",3.5882,2.8039,2.7843,4.1373,1.1569,3.2549,4.451,3.7647,4.1373,51
"84",1004,"Chi-Yu","chi-yu",2.8654,2.4423,3.0192,4.4038,1.0962,3.75,4.0577,3.9423,4.0769,52
"85",1005,"Roaring Moon","roaring-moon",4.6078,2.8431,2.1765,4.6078,1.2941,1.5882,4.3725,3.1176,3.8431,51
"86",1006,"Iron Valiant","iron-valiant",4.3462,2.6346,4.8269,4.5385,4.8269,2.2308,4.5192,3.8846,3.8269,52
"87",1007,"Koraidon","koraidon-apex-build",4.7692,2.8462,2.3269,4.4615,3.0192,2.8846,4.2692,3.5577,3.9808,52
"88",1008,"Miraidon","miraidon-ultimate-mode",4.6471,2.5882,4.7255,4.7059,2.0196,2.549,4.4118,3.5098,3.9804,51
"89",103,"Alolan Exeggutor","exeggutor-alola",2.2115,1.6731,1.4231,3.4615,1.4423,2.75,3.3462,2.5192,4.0962,52
"90",104,"Cubone","cubone",2.2692,2.8077,1.6154,3.1346,2.4615,4.1538,3.9615,3.25,4.1346,52
"91",105,"Alolan Marowak","marowak-alola",2.9231,2.2885,2.0769,4.1538,2.9038,2.3654,4.5769,3.4423,4.2308,52
"92",105,"standard Marowak","marowak",2.1176,2.9608,1.451,3.1373,2.7451,2.6471,4.1373,2.9412,3.8431,51
"93",112,"Rhydon","rhydon",3.1373,3.0392,2.0588,3.1176,2.6863,1.8235,4.1765,2.7647,3.6275,51
"94",114,"Tangela","tangela",2.1765,1.4706,1.7843,3.7059,2.0392,3.8235,2.7843,2.7451,3.7059,51
"95",115,"Mega Kangaskhan","kangaskhan-mega",3.1538,2.4808,1.6923,2.9231,3.1731,3.4231,3.6346,2.8077,3.5769,52
"96",115,"standard Kangaskhan","kangaskhan",3.1154,3.3077,1.5192,2.6538,3.0385,3.2308,3.8654,2.8269,3.6346,52
"97",116,"Horsea","horsea",1.6275,2.2941,1.098,1.7255,1.098,4.4314,2.7647,3.7843,3.8627,51
"98",117,"Seadra","seadra",2.7451,3.1176,1.3529,2.6275,1.1176,2.4118,3.9412,3.1765,3.8431,51
"99",121,"Starmie","starmie",2.6667,3.1373,3,3.7059,1.2157,2.3333,3.6667,3.6471,3.6078,51
"100",123,"Scyther","scyther",3.3725,3.0196,1.7451,3.4902,3.0784,1.9608,4.3529,3.0588,4.0392,51
"101",129,"Magikarp","magikarp",1.8462,2.9615,1.2692,1.5192,1.2115,3,2.0769,2.4423,3.8077,52
"102",130,"Mega Gyarados","gyarados-mega",4.3846,2.9231,2.1923,4.3654,1.2115,1.5192,4.4423,2.8269,3.9808,52
"103",130,"standard Gyarados","gyarados",3.8824,3.2941,1.4706,4.1765,1.1176,1.4706,4.5294,2.4118,4.1176,51
"104",131,"Gigantamax Lapras","lapras-gmax",3.6154,2.0962,2.3077,4.5385,1.0769,3.2308,3.5962,4.0192,3.6346,52
"105",131,"standard Lapras","lapras",2.6078,3.1765,1.4314,3.7451,1.1961,4.0196,4.1373,4.5686,4.451,51
"106",132,"Ditto","ditto",1.0769,1.1923,3.8077,3.9808,1.2115,4.1346,2.9231,2.7308,3.8269,52
"107",133,"standard Eevee","eevee",1.5577,3.25,1.2308,2.2115,1.1731,4.7885,3.4038,4.1346,4.2115,52
"108",134,"Vaporeon","vaporeon",2.8627,2.5686,1.3529,3.9412,1.2745,4.4118,3.7647,4.2745,4.2745,51
"109",135,"Jolteon","jolteon",2.1569,2.9608,1.549,3.1765,1.098,3.8824,4.2745,3.4902,3.9412,51
"110",136,"Flareon","flareon",1.8462,3.2115,1.4038,2.8269,1.2308,4.0385,3.6154,3.8462,3.7692,52
"111",137,"Porygon","porygon",2.2549,1.5882,4.8235,3.9608,1.1176,3.4706,3.5686,2.9216,4,51
"112",138,"Omanyte","omanyte",1.75,2.6538,1.3269,2.3077,1.1346,4.3077,3.3846,3.2115,4.0192,52
"113",140,"Kabuto","kabuto",1.6346,3.1346,1.5385,2.2115,1.1538,3.3077,3.3654,2.7115,3.7115,52
"114",141,"Kabutops","kabutops",3.3725,3.5098,1.8431,3.5098,3.1961,1.7059,4.1569,2.7059,3.7843,51
"115",142,"standard Aerodactyl","aerodactyl",2.3529,3.4902,1.7647,2.8824,1.2549,1.7647,4.1569,2.5098,3.7255,51
"116",143,"Gigantamax Snorlax","snorlax-gmax",3.6154,1.7885,1.9038,4.1731,2.5192,3.1154,3.4808,3.1154,3.6154,52
"117",143,"standard Snorlax","snorlax",1.5,2.0962,1.3846,2.1538,2.9808,3.5385,3.2308,2.8462,3.8462,52
"118",144,"Galarian Articuno","articuno-galar",3.4118,2.549,2.0392,4.1765,1.902,2.2549,3.9804,3.5294,3.6471,51
"119",144,"standard Articuno","articuno",2.5962,3.7115,1.5962,3.9808,1.2115,2.9423,3.9615,4.1538,3.9615,52
"120",145,"Galarian Zapdos","zapdos-galar",3.4231,2.6346,1.5962,3.6538,1.4038,2.0577,4.5385,3.3077,4.1538,52
"121",145,"standard Zapdos","zapdos",3.0577,2.4231,2.0577,3.8654,1.1923,1.9615,4.1923,2.9423,3.75,52
"122",146,"Galarian Moltres","moltres-galar",3.8269,2.4808,2.1154,4.5192,1.25,1.9808,4.6346,3.75,4.25,52
"123",147,"Dratini","dratini",1.3654,2.1346,1.4615,4.0385,1.0962,4.7885,3.4808,4.2308,4.2115,52
"124",148,"Dragonair","dragonair",1.7059,2.4902,1.7843,4.3529,1.1373,4.1961,4.1765,4.5882,4.3333,51
"125",149,"Dragonite","dragonite",2.0588,1.451,1.5294,4.5294,2.7059,4.3137,3.9216,3.7059,4.1961,51
"126",150,"standard Mewtwo","mewtwo",3.0784,2.9608,3.3333,4.1373,4.3137,2.0588,4.3725,2.8039,4,51
"127",151,"Mew","mew",1.3846,1.6923,1.8077,3.6923,2.4231,4.5192,3.5769,3.9615,4.2308,52
"128",152,"Chikorita","chikorita",1.4231,1.6923,1.3077,3.25,1.1731,4.3654,2.7692,3.6923,3.7692,52
"129",153,"Bayleef","bayleef",2.1961,2.1961,1.3333,3.6078,1.2353,4.2157,3.5098,3.8431,3.9804,51
"130",154,"Meganium","meganium",2.1923,2.2885,1.3846,3.4038,1.2692,4.1731,3.1346,4.1154,3.7115,52
"131",155,"Cyndaquil","cyndaquil",1.7885,2.2692,1.5192,3.2115,1.25,4.75,3.9423,3.4808,4.4038,52
"132",156,"Quilava","quilava",2.0385,2.6154,1.5577,3.4423,1.7308,4,4.1731,3.5962,4.2308,52
"133",157,"Hisuian Typhlosion","typhlosion-hisui",2.9423,2.5,2.0577,4.1731,3.0769,3.2115,4.2115,3.7308,4.0962,52
"134",157,"standard Typhlosion","typhlosion",2.0192,3.1923,1.4808,3.0962,2.3269,2.8846,4.4231,3.3462,4.1154,52
"135",158,"Totodile","totodile",2.1731,1.9038,1.3077,2.3846,2.25,4.5,4.0577,3.3654,4.25,52
"136",159,"Croconaw","croconaw",2.4902,1.9804,1.7451,2.8824,2.5882,2.7647,3.5686,2.3922,3.5686,51
"137",160,"Feraligatr","feraligatr",3.1569,2.6471,1.549,3.0392,3.2745,1.902,4.1569,2.4314,3.8039,51
"138",161,"Sentret","sentret",1.5577,1.9808,1.4231,2,1.7115,4.3846,2.7692,3.4808,4,52
"139",162,"Furret","furret",1.8039,2.3137,1.3137,1.6863,1.4902,4.6471,3.0392,4.098,4.2549,51
"140",163,"Hoothoot","hoothoot",1.7692,2.0577,1.6154,2.0769,1.2885,3.8654,2.9231,3.0385,3.6154,52
"141",164,"Noctowl","noctowl",2.0588,3.7059,1.1765,1.4902,1.2549,2.5294,3.4706,3.1176,3.7059,51
"142",166,"Ledian","ledian",2.0392,2.0392,1.8235,2.7647,3.2745,3.8627,3.5098,3.4902,3.6078,51
"143",168,"Ariados","ariados",2.9231,3.2692,1.5,2.4423,1.0962,2.1538,3.5577,2.7308,3.5962,52
"144",169,"Crobat","crobat",2.0577,2.2115,1.4615,2.9615,1.1923,2.5192,4.3269,2.8269,4.2115,52
"145",170,"Chinchou","chinchou",1.75,1.6731,1.4808,2.6923,1.2115,4.1346,2.9423,3.3269,3.75,52
"146",171,"Lanturn","lanturn",1.6731,1.9038,1.5385,2.5192,1.1538,4.0577,3.0577,3.5962,3.6346,52
"147",172,"Pichu","pichu",1.7255,1.3529,1.5882,2.9412,2.4706,4.4902,2.9216,3.8039,3.7647,51
"148",175,"Togepi","togepi",1.75,1.5577,1.8846,3.7308,2.4231,4.4423,2.6731,3.6154,3.8654,52
"149",177,"Natu","natu",1.7647,1.8039,1.7647,2.9804,1.2745,3.9412,2.8824,3.3333,3.6667,51
"150",179,"Mareep","mareep",1.8077,2.3654,1.8462,2.7115,1.1154,4.6154,3.3269,4.0577,4.3077,52
"151",180,"Flaaffy","flaaffy",2.3462,1.9808,1.7308,3.1346,2.5,4.3846,3.2115,3.8269,4.0192,52
"152",181,"Mega Ampharos","ampharos-mega",3.2308,1.8462,2.4038,4.2692,2.9615,3.8462,3.8654,4.1154,3.9423,52
"153",181,"standard Ampharos","ampharos",2.0588,1.8627,1.9608,3.3922,2.7255,3.9216,3.6471,3.5294,3.9804,51
"154",183,"Marill","marill",1.3333,1.4706,1.6471,2.8235,1.5686,4.6078,2.7059,3.7451,3.8235,51
"155",184,"Azumarill","azumarill",1.5769,1.4038,1.7692,3.1538,2.0385,4.25,2.6154,3.4423,3.6154,52
"156",186,"Politoed","politoed",2,1.7308,1.5,2.4808,2.4038,4.0385,2.6538,3.1923,3.5577,52
"157",187,"Hoppip","hoppip",1.3922,1.5098,1.451,3.1961,1.2549,4.3922,1.9804,3.3529,3.6275,51
"158",193,"Yanma","yanma",2.4808,2.7308,1.4231,1.8462,1.1923,3.7308,3.1923,2.9808,3.7115,52
"159",194,"Wooper Paldean","wooper-paldea",1.5962,1.5577,1.6923,2.6538,1.9423,4.5962,3.3462,3.3462,4.3077,52
"160",194,"standard Wooper","wooper",1.2549,1.6863,1.451,2.2745,1.8235,4.7059,3.0784,3.5294,4.549,51
"161",195,"Quagsire","quagsire",1.4423,1.9038,1.3846,2.5,2.0192,4.4038,3.2308,3.1538,4.1538,52
"162",196,"Espeon","espeon",1.7885,3.25,1.6154,3.7692,1.2115,3.9808,4.0385,4.6346,4.1731,52
"163",197,"Umbreon","umbreon",2.0577,2.9423,1.5577,3.1538,1.1346,4.2115,4.6346,4.3846,4.4808,52
"164",198,"Murkrow","murkrow",2.0577,2.5385,1.4423,2.3269,1.3846,3.4615,3.75,3.1154,3.9231,52
"165",199,"standard Slowking","slowking",2.7885,1.8654,2.3654,4.0385,3.4615,3.2115,3.1731,2.7885,3.7885,52
"166",200,"Misdreavus","misdreavus",2.1731,1.7308,3.0192,4.4231,2.3077,4.3077,3.4038,4,3.9038,52
"167",202,"Wobbuffet","wobbuffet",1.549,1.2745,3.1961,3.9412,2.8235,3.3333,2.6078,2.5294,3.6471,51
"168",203,"Girafarig","girafarig",2.4808,2.4231,1.4808,3.4423,1.1923,3.6731,3.2115,3.3077,3.6346,52
"169",206,"Dunsparce","dunsparce",1.902,1.7059,1.8039,3.3725,1.1765,3.3333,2.2745,2.549,3.549,51
"170",207,"Gligar","gligar",2.3846,1.5385,1.6538,3.1346,2.3846,3.8654,3.8269,2.6923,3.8846,52
"171",208,"Mega Steelix","steelix-mega",4.5,2.7308,3.8654,4.5769,1.1346,1.4615,4.3077,2.7115,3.8846,52
"172",208,"standard Steelix","steelix",3.1765,2.8627,3.6275,3.8824,1.1569,1.3725,4.3922,2.4314,3.9804,51
"173",211,"Hisuian Qwilfish","qwilfish-hisui",2.0192,2.1346,1.7115,2.2885,1.1346,2.5577,3.2692,2.2885,3.5577,52
"174",212,"Mega Scizor","scizor-mega",4.2157,2.5294,4.1176,4.0784,3.8235,1.8824,4.2745,2.9804,3.7059,51
"175",212,"standard Scizor","scizor",3.451,2.5686,3.3725,3.9804,3.9412,1.902,4.5882,3.549,4.1176,51
"176",213,"Shuckle","shuckle",1.9231,1.5962,1.9615,2.7885,1.1538,3.6731,2.4423,2.5385,3.6346,52
"177",214,"standard Heracross","heracross",2.6346,3.3269,1.4038,2.25,2.8077,3.5962,4.25,3,4.0385,52
"178",215,"Hisuian Sneasel","sneasel-hisui",2.9608,2,1.7647,3.3137,3.4902,3.7255,4.0784,3.5294,3.9608,51
"179",215,"standard Sneasel","sneasel",2.3654,2.3077,1.9231,3.5577,3.3846,3.6731,4.1346,3.6154,4.0769,52
"180",216,"Teddiursa","teddiursa",1.4706,2.1765,1.1961,1.8431,2.1961,4.549,2.7451,3.6471,3.8039,51
"181",219,"Magcargo","magcargo",2.6346,2.3269,2.4231,3.8654,1.3077,3.1346,3.3654,2.4423,3.6346,52
"182",220,"Swinub","swinub",1.1923,1.8077,1.3846,1.8846,1.1154,4.0192,2.5,2.8269,3.5962,52
"183",221,"Piloswine","piloswine",1.5577,2.4038,1.25,1.7692,1.1731,3.1154,2.5385,2.2885,3.5769,52
"184",222,"Galarian Corsola","corsola-galar",2.451,2.2941,2,3.6275,1.1569,3.7255,3.549,3.1176,3.9804,51
"185",222,"standard Corsola","corsola",1.9412,2.2157,1.7647,2.6471,1.2157,4.451,2.8627,3.9804,3.9608,51
"186",226,"Mantine","mantine",2.2115,2.8077,1.3654,1.7885,1.1923,3.8846,3.2692,3.3846,3.7692,52
"187",227,"Skarmory","skarmory",3.3462,2.7885,3.6346,4.0192,1.25,2.25,4.2115,3,3.8269,52
"188",228,"Houndour","houndour",2.1373,2.8627,1.7255,2.9412,1.098,3.4118,3.9216,2.8824,3.6667,51
"189",229,"Mega Houndoom","houndoom-mega",4.1538,2.9615,2.0962,4.0962,1.1346,2.0192,4.5,3.3846,3.9231,52
"190",229,"standard Houndoom","houndoom",2.8431,2.8235,1.7255,3.5294,1.1176,2.5686,4.3529,3.1961,3.8627,51
"191",230,"Kingdra","kingdra",2.8654,3.5577,1.5,2.9615,1.1923,2.4808,4,3.4038,3.8846,52
"192",231,"Phanpy","phanpy",1.3654,1.8846,1.3846,1.8077,1.1731,4.5962,2.8077,3.5577,3.9423,52
"193",232,"Donphan","donphan",2.8654,3,1.9615,2.5,1.2308,2.25,3.9615,2.7308,3.8654,52
"194",233,"Porygon2","porygon2",1.5294,1.4706,4.6078,3.8431,1.1569,3.902,3.5882,3.3333,3.9412,51
"195",239,"Elekid","elekid",2.1538,1.5577,3.4615,3.9231,3.4808,3.5577,3.7115,2.6346,3.6923,52
"196",242,"Blissey","blissey",1.9423,1.3269,2.1346,3.7308,2.8846,4.0577,2.2308,3.9808,3.6154,52
"197",243,"Raikou","raikou",3.9615,2.9615,1.9615,4.5962,1.1923,2.5769,4.5,3.5385,4.1154,52
"198",244,"Entei","entei",3.8077,3.1538,1.9231,4.4423,1.2885,2.2885,4.5385,3.6154,4.0385,52
"199",245,"Suicune","suicune",3.6471,3.1373,1.9804,4.451,1.2157,3.1176,4.5098,4.451,4.3137,51
"200",246,"Larvitar","larvitar",2.2885,2.3654,2.2308,3.4423,2.0962,3.6154,3.7692,2.9808,3.8462,52
"201",248,"standard Tyranitar","tyranitar",3.4314,2.8039,2.5294,4.1569,2.2549,1.7647,4.5686,2.6667,4.2549,51
"202",249,"Lugia","lugia",2.7647,2.5294,1.9608,4.2941,1.8039,2.8039,4.4314,3.8431,4.2353,51
"203",250,"Ho-Oh","ho-oh",3.5962,3.1923,1.5385,4.0769,1.2308,2.7115,4.5,4.4038,4.3462,52
"204",251,"Celebi","celebi",2.2692,1.8269,1.6923,4.5577,3.3462,4.4808,3.4038,4.2115,4.1923,52
"205",252,"Treecko","treecko",1.9808,2.1538,1.4423,2.5192,3.1154,3.8462,3.8654,3.1731,4.0769,52
"206",253,"Grovyle","grovyle",2.8654,3.0385,1.5385,3.1346,2.9038,2.9423,4.4038,3.4423,4.3654,52
"207",254,"Mega Sceptile","sceptile-mega",4.2308,2.9423,2,4.3077,2.9231,2.0192,4.5385,3.2308,4.1154,52
"208",254,"standard Sceptile","sceptile",3.5192,2.9615,1.3269,3.6346,3.2115,2.5192,4.4423,3.4038,4.1346,52
"209",255,"Torchic","torchic",1.5192,2.4038,1.3462,2.0577,1.4038,4.5385,3.2115,3.6154,4.0192,52
"210",257,"Mega Blaziken","blaziken-mega",4.0577,2.7115,2.2885,4.2308,4.6731,2.0385,4.3269,3.1731,3.9808,52
"211",257,"standard Blaziken","blaziken",3.4231,2.5962,1.8462,3.9038,4.6154,2.0769,4.2308,3.0385,3.7692,52
"212",258,"Mudkip","mudkip",1.9038,2.0769,1.4231,2.6154,1.2308,4.7308,3.4423,3.6346,4.3654,52
"213",259,"Marshtomp","marshtomp",2.4231,1.7885,1.5192,2.9423,2.9808,3.5577,3.1731,2.6346,3.5962,52
